o_reward: 0.59, reward: 0.59, Epoch: 75    , params: 0.72, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 37.85   , genotype: [[5, [1, 1, 7, 6], [0, 0, 7, 1], [0, 7, 0, 4]], [[1, 2], [3, 2], [5, 2]]]
o_reward: 0.55, reward: 0.55, Epoch: 76    , params: 0.47, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 43.46   , genotype: [[10, [0, 0, 0, 3], [3, 3, 3, 6], [4, 0, 9, 9]], [[2, 2], [3, 1], [1, 0]]]
o_reward: 0.43, reward: 0.43, Epoch: 77    , params: 0.48, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 38.14   , genotype: [[3, [1, 0, 5, 4], [3, 2, 8, 10], [4, 7, 2, 10]], [[3, 2], [1, 4], [5, 1]]]
o_reward: 0.53, reward: 0.53, Epoch: 78    , params: 0.81, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 51.05   , genotype: [[6, [0, 1, 0, 6], [1, 3, 0, 10], [3, 0, 5, 1]], [[1, 1], [1, 4], [5, 2]]]
o_reward: 0.58, reward: 0.58, Epoch: 79    , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 33.33   , genotype: [[4, [0, 0, 10, 5], [4, 1, 2, 2], [6, 1, 1, 8]], [[2, 2], [3, 2], [3, 4]]]
o_reward: 0.55, reward: 0.55, Epoch: 80    , params: 0.57, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 75.57   , genotype: [[9, [0, 0, 4, 5], [3, 0, 1, 10], [4, 3, 4, 0]], [[1, 0], [1, 4], [3, 5]]]
o_reward: 0.53, reward: 0.53, Epoch: 81    , params: 0.58, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 36.58   , genotype: [[4, [1, 0, 2, 1], [3, 3, 10, 9], [4, 0, 5, 3]], [[3, 3], [1, 3], [4, 5]]]
o_reward: 0.55, reward: 0.55, Epoch: 82    , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 85.21   , genotype: [[5, [1, 0, 9, 7], [0, 3, 7, 4], [3, 4, 7, 5]], [[0, 3], [2, 4], [3, 0]]]
o_reward: 0.53, reward: 0.53, Epoch: 83    , params: 0.81, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 68.38   , genotype: [[0, [1, 1, 5, 5], [4, 2, 5, 5], [2, 0, 9, 0]], [[3, 3], [1, 2], [0, 2]]]
o_reward: 0.60, reward: 0.60, Epoch: 84    , params: 0.81, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 54.43   , genotype: [[6, [0, 0, 5, 6], [1, 0, 4, 5], [4, 4, 2, 9]], [[1, 3], [3, 2], [1, 4]]]
o_reward: 0.59, reward: 0.59, Epoch: 85    , params: 0.48, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 32.61   , genotype: [[2, [0, 0, 9, 10], [2, 0, 8, 7], [2, 0, 1, 3]], [[1, 2], [1, 2], [4, 1]]]
o_reward: 0.55, reward: 0.55, Epoch: 86    , params: 0.63, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 62.41   , genotype: [[5, [1, 1, 4, 3], [4, 0, 5, 8], [6, 3, 4, 3]], [[3, 2], [3, 3], [0, 1]]]
